Timestamp,Sensor4,Sensor5,Sensor8,Sensor9,Label
2025-04-04 06:34:36,50,85,43,33,tiger
2025-04-04 06:34:36,47,85,35,33,tiger
2025-04-04 06:34:36,48,85,40,30,tiger
2025-04-04 06:34:36,48,85,42,33,tiger
2025-04-04 06:34:36,48,85,41,35,tiger
2025-04-04 06:34:36,51,85,42,34,tiger
2025-04-04 06:34:36,48,86,35,33,tiger
2025-04-04 06:34:36,48,85,33,34,tiger
2025-04-04 06:34:36,49,84,34,43,tiger
2025-04-04 06:34:37,48,85,35,65,tiger
2025-04-04 06:34:37,49,84,41,38,tiger
2025-04-04 06:34:37,49,85,38,33,tiger
2025-04-04 06:34:37,48,84,34,33,tiger
2025-04-04 06:34:37,45,83,45,34,tiger
2025-04-04 06:34:37,47,85,44,32,tiger
2025-04-04 06:34:37,46,83,45,68,tiger
2025-04-04 06:34:37,47,84,44,62,tiger
2025-04-04 06:34:38,45,85,45,46,tiger
2025-04-04 06:34:38,45,84,46,59,tiger
2025-04-04 06:34:38,49,83,46,37,tiger
2025-04-04 06:34:38,46,84,50,34,tiger
2025-04-04 06:34:38,46,84,49,36,tiger
2025-04-04 06:34:38,44,83,50,34,tiger
2025-04-04 06:34:38,45,83,51,36,tiger
2025-04-04 06:34:38,45,82,56,34,tiger
2025-04-04 06:34:38,45,84,62,35,tiger
2025-04-04 06:34:38,46,82,63,37,tiger
2025-04-04 06:34:39,47,83,61,41,tiger
2025-04-04 06:34:39,46,82,65,38,tiger
2025-04-04 06:34:39,46,83,71,38,tiger
2025-04-04 06:34:39,46,82,70,46,tiger
2025-04-04 06:34:39,49,82,64,40,tiger
2025-04-04 06:34:39,49,82,67,35,tiger
2025-04-04 06:34:39,47,81,66,37,tiger
2025-04-04 06:34:39,46,82,65,61,tiger
2025-04-04 06:34:39,47,83,68,62,tiger
2025-04-04 06:34:39,46,83,63,61,tiger
2025-04-04 06:34:40,47,82,69,58,tiger
2025-04-04 06:34:40,46,82,58,62,tiger
2025-04-04 06:34:40,45,81,47,38,tiger
2025-04-04 06:34:40,46,81,69,39,tiger
2025-04-04 06:34:40,45,81,68,44,tiger
2025-04-04 06:34:40,45,83,66,59,tiger
2025-04-04 06:34:40,45,81,68,43,tiger
2025-04-04 06:34:40,45,81,66,43,tiger
2025-04-04 06:34:40,45,81,70,34,tiger
2025-04-04 06:34:40,45,81,72,36,tiger
2025-04-04 06:34:41,44,81,71,62,tiger
2025-04-04 06:34:41,46,80,63,41,tiger
2025-04-04 06:34:41,45,81,65,46,tiger
2025-04-04 06:34:41,45,80,63,61,tiger
2025-04-04 06:34:41,46,82,62,45,tiger
2025-04-04 06:34:41,47,80,67,51,tiger
2025-04-04 06:34:41,44,80,64,36,tiger
2025-04-04 06:34:41,46,83,65,35,tiger
2025-04-04 06:34:41,44,82,63,34,tiger
2025-04-04 06:34:41,45,81,64,35,tiger
2025-04-04 06:34:42,45,81,61,35,tiger
2025-04-04 06:34:42,47,81,63,38,tiger
2025-04-04 06:34:42,44,81,62,29,tiger
2025-04-04 06:34:42,46,83,62,32,tiger
2025-04-04 06:34:42,46,84,62,35,tiger
2025-04-04 06:34:42,47,84,64,40,tiger
2025-04-04 06:34:42,46,83,61,35,tiger
2025-04-04 06:34:42,45,83,62,33,tiger
2025-04-04 06:34:42,45,81,63,34,tiger
2025-04-04 06:34:43,45,81,60,33,tiger
2025-04-04 06:34:43,46,83,61,33,tiger
2025-04-04 06:34:43,47,84,60,33,tiger
2025-04-04 06:34:43,48,82,59,34,tiger
2025-04-04 06:34:43,48,82,59,34,tiger
2025-04-04 06:34:43,46,83,61,33,tiger
2025-04-04 06:34:43,47,83,61,32,tiger
2025-04-04 06:34:43,47,80,59,32,tiger
2025-04-04 06:34:43,47,81,59,30,tiger
2025-04-04 06:34:43,46,83,60,31,tiger
2025-04-04 06:34:44,46,82,56,31,tiger
2025-04-04 06:34:44,45,83,59,31,tiger
2025-04-04 06:34:44,45,82,59,29,tiger
2025-04-04 06:34:44,47,81,58,31,tiger
2025-04-04 06:34:44,45,79,62,32,tiger
2025-04-04 06:34:44,45,81,60,31,tiger
2025-04-04 06:34:44,46,82,60,30,tiger
2025-04-04 06:34:44,45,82,60,30,tiger
2025-04-04 06:34:44,45,82,60,30,tiger
2025-04-04 06:34:44,45,81,58,31,tiger
2025-04-04 06:34:45,45,81,60,31,tiger
2025-04-04 06:34:45,46,82,59,30,tiger
2025-04-04 06:34:45,45,82,53,31,tiger
2025-04-04 06:34:45,46,82,56,31,tiger
2025-04-04 06:34:45,46,82,53,29,tiger
2025-04-04 06:34:45,47,83,51,29,tiger
2025-04-04 06:34:45,47,82,50,31,tiger
2025-04-04 06:34:45,49,82,49,33,tiger
